"SF","logMstar","logvelDisp_e","logRproj_rvir","TType"
1,10.721,1.9725635403421,0.897269257798555,5.56675100326538
0,10.542,2.19892358587336,1.19849424537609,-2.13553285598755
0,10.618,2.10955302861797,1.14948920149596,-2.10717296600342
0,10.515,2.19253988167317,0.562273775239236,0.686347842216492
0,10.655,2.15420785309847,-0.0435346617931403,-0.981219410896301
0,10.527,2.22804688456315,-0.137690531001425,-2.65084218978882
1,10.519,1.82935144848556,0.968766987126285,4.45438623428345
0,10.721,2.28074706776749,-0.610677377528845,-2.44905138015747
0,10.66,2.01030855482879,-0.286342850596043,-1.69900476932526
0,10.511,2.0733584114494,-0.446880579136895,0.753604888916016
0,10.572,2.13708665798865,0.671205945522678,-2.23789548873901
0,10.651,2.09700787308501,-0.729871352891541,-2.31939840316772
0,10.567,2.19824238746669,-0.516360930564888,1.47575414180756
1,10.516,1.82585058467737,1.03447225241363,5.00344038009644
0,10.814,2.1686815535087,-1.214575245329,-2.29285669326782
0,10.618,2.04579269869392,-1.13832525220357,-2.139573097229
0,10.526,2.10506063850617,-1.84120296599757,-2.72678518295288
0,10.61,2.2396359038891,0.159147637500806,-2.66012144088745
1,10.568,2.19045409739064,-0.97198773194112,-2.00736904144287
0,10.557,1.96324251546713,-0.305629137212522,-1.83592665195465
0,10.749,2.2755060745688,-0.156631070334805,-2.47798824310303
0,10.543,2.13623138208489,0.0375862332697748,1.31067764759064
0,10.503,2.17833214413787,-0.122332475826854,-2.24869775772095
1,10.685,2.0474175476785,0.128872901904633,1.579962849617
0,10.511,2.26635615009981,-0.550676329865875,-2.17261028289795
0,10.552,2.17313335654566,-1.04200558991963,-2.14961051940918
0,10.701,2.20206132073832,-0.970746315485,-2.14801406860352
0,10.645,2.1369579244563,-0.717164373992886,-2.00917816162109
1,10.598,1.91646255855238,-0.597619913931257,6.30233430862427
0,10.624,2.20024634338566,-0.925557530648605,-2.18180418014526
1,10.584,2.25912166955515,-0.967987841444174,-2.04763031005859
0,10.544,2.23852575608794,-0.959619059820206,-2.49832248687744
1,10.564,1.93160222257948,0.0142446336511143,-2.14002180099487
0,10.812,2.2403430203844,-0.536078712846189,-2.20087623596191
0,10.663,2.09013142274355,0.0343812148662132,1.43043386936188
0,10.554,2.06270082478147,-0.49337802122235,-1.67145431041718
1,10.662,1.98218429380536,1.22855660019197,5.24316740036011
1,10.576,1.9386166242392,1.03931887891494,4.10451221466064
0,10.552,2.10223257351989,-0.122894047035065,0.320844531059265
1,10.517,1.74027975317739,0.960195509550408,5.76546859741211
0,10.615,2.3168703052505,0.194731476088971,-2.53800821304321
1,10.691,2.17047865634031,-0.296995351190763,-2.02764368057251
0,10.509,2.191149869636,-0.126729280407461,-2.42579317092896
0,10.63,2.09827878875068,-0.147486875194395,-2.03010988235474
1,10.757,2.1807629561963,0.0578550835901977,4.16498708724976
0,10.579,2.0290112082597,0.708650402678401,3.42565631866455
0,10.643,2.32623639905289,0.326641289064747,-1.47750985622406
1,10.515,1.63018265615505,0.737682973583237,4.20417308807373
1,10.53,1.87946683871792,0.115493715878497,3.27223014831543
1,10.689,1.94144101374244,-0.369721455347085,4.11072206497192
0,10.572,2.31394791188567,-0.515058322556508,-2.50890302658081
1,10.583,2.31979603210439,-1.05908483757242,-2.4252815246582
1,10.55,1.93651882812358,0.923141612377163,3.32207775115967
0,10.548,2.11445179961773,0.709467930205794,-2.1599555015564
1,10.763,1.94528179845952,0.851468168464699,-1.94425857067108
1,10.516,1.96071966459118,0.403643742620705,3.36457967758179
1,10.653,2.0500346502382,0.739860994191078,3.35318517684937
0,10.557,2.09752457754373,0.137618942260146,-2.35201501846313
1,10.684,2.09087088947623,0.463364558936426,2.96182680130005
1,10.615,1.81974954400586,0.322731623977079,3.43444776535034
1,10.833,2.17495898781753,0.762146497431317,1.47108352184296
0,10.578,2.14211276639565,0.825083893259305,-1.63977372646332
0,10.922,2.32128740507843,0.0248583145988867,-2.03070116043091
1,10.681,2.09126989895591,0.122550455272287,-2.48610353469849
1,10.772,2.03392504881869,0.0982921537704955,3.92672491073608
1,11.043,2.09149263846874,-0.120484536163477,-2.18734550476074
0,10.736,2.25793821659315,0.284712554785678,-2.27312755584717
0,10.572,2.17027208663397,0.671355063372284,0.616045594215393
0,10.791,2.17301150894492,0.0920306037343662,-2.327467918396
1,10.823,1.97779873305374,-0.0947623714013762,3.95159864425659
0,10.611,2.26196239866412,-0.174186366912703,-2.37413263320923
0,10.695,2.03486133810265,-0.3368403261023,-0.383658885955811
0,10.701,1.97763628374501,-0.238469077084591,-2.11375951766968
0,10.805,2.17111151198469,-0.466604298828777,0.0549300909042358
1,10.646,1.83367154096002,-0.283313761728692,-1.45846617221832
0,10.583,2.09302215095173,-0.415298241400588,-2.32211685180664
0,10.755,2.03862808818993,-0.361326531137518,4.1486439704895
0,10.825,2.1634271371535,-0.0209745048395117,-2.08171510696411
0,10.597,2.06776780628842,-0.228005311056948,-2.2050609588623
1,11.27,2.21162534319045,-0.369250002297476,4.4838981628418
0,10.514,2.07663854515825,-0.551299896727832,-2.2090368270874
0,10.814,2.13872269749751,-0.975218780152715,-2.2596549987793
0,11.136,2.47626757456697,-0.805096111956962,-2.30142116546631
0,11.08,2.4197254124337,-0.929230013837353,-2.26113414764404
0,10.545,1.92132325371672,0.187193312438808,3.56843376159668
1,10.538,2.15138073779243,0.579732708299603,-0.72206711769104
0,10.733,2.24533153358603,0.0227828160366326,-2.27523326873779
0,10.764,2.26792002964796,-0.327345856137106,-2.56593227386475
1,10.573,1.81043666565326,-0.409652158184499,5.27830028533936
0,10.6,2.1706755569511,-0.629185304797849,-2.15818929672241
0,10.554,2.19250889209288,-1.07147517171704,-2.02546977996826
0,10.601,2.13768726074929,-0.73429330591602,-2.34401273727417
0,10.674,2.29779221110406,-1.1845455807537,-2.3242654800415
0,10.509,2.15021578792415,-0.822347299183339,-2.18506908416748
1,10.808,2.05348103834771,0.625671088555452,1.53785181045532
0,10.523,2.01846794359344,0.222403038320611,0.0176606178283691
1,10.786,2.1541482151727,-0.376673824703184,-0.428703546524048
0,10.567,1.97192606281005,-0.147062473157543,-2.1084508895874
0,10.821,2.12080494817709,-0.0465709693213102,-1.95696866512299
1,10.596,2.05782586955134,0.223410816406429,1.1000679731369
0,10.765,2.18645361405689,0.0840294385843712,-2.15334892272949
0,10.726,2.18994204995872,-0.717904447303889,0.969976127147675
0,10.666,2.11695930003415,0.271234088664456,-1.57836163043976
0,10.772,2.14795750730788,0.148497927653108,0.325010538101196
0,10.728,2.14983343540606,0.226564005506033,3.56509113311768
1,10.707,2.05702201618992,0.710045688460746,5.11878681182861
